"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"302",13,"Jalen Nailor",MIN,"89","0","0","28","414","6","3","-4","0"
"303",13,"Jason Myers",SEA,"140","0","0","0","0","0","0","0","0"
"304",13,"Tory Horton",SEA,"0","0","0","0","0","0","0","0","0"
"305",13,"Ty Chandler",MIN,"25.4","0","0","6","42","0","56","182","0"
"306",13,"Damien Martinez",SEA,"0","0","0","0","0","0","0","0","0"
"307",13,"Luke McCaffrey",WAS,"25.8","0","0","18","168","0","0","0","0"
"308",13,"Emanuel Wilson",GB,"90.5","0","0","11","48","1","103","502","4"
"309",13,"Phil Mafah",DAL,"0","0","0","0","0","0","0","0","0"
"310",13,"Oronde Gadsden II",LAC,"0","0","0","0","0","0","0","0","0"
"311",13,"Chris Brooks",GB,"36.7","0","0","11","69","0","36","183","1"
"312",13,"Miami Dolphins",MIA,"84","0","0","0","0","0","0","0","0"
"313",13,"Tyler Higbee",LAR,"22.6","0","0","8","66","2","0","0","0"
"314",13,"Shedeur Sanders",CLE,"0","0","0","0","0","0","0","0","0"
"315",13,"Tez Johnson",TB,"0","0","0","0","0","0","0","0","0"
"316",13,"Ben Sinnott",WAS,"11.3","0","0","5","28","1","0","0","0"
"317",13,"Isaac TeSlaa",DET,"0","0","0","0","0","0","0","0","0"
"318",13,"Tyler Conklin",LAC,"96.4","0","0","51","449","4","1","0","0"
"319",13,"Raheim Sanders",LAC,"0","0","0","0","0","0","0","0","0"
"320",13,"Darren Waller",MIA,"0","0","0","0","0","0","0","0","0"
"321",13,"Chris Rodriguez Jr.",WAS,"31","0","0","1","12","0","35","173","2"
"322",13,"Will Dissly",LAC,"85.1","0","0","50","481","2","0","0","0"
"323",13,"Jermaine Burton",CIN,"12.7","0","0","4","107","0","0","0","0"
"324",13,"Tutu Atwell",LAR,"77.9","0","0","42","562","0","2","7","0"
"325",13,"Gus Edwards",FA,"62.6","0","0","3","6","0","101","365","4"
"326",13,"Zamir White",LV,"26.3","0","0","6","30","0","65","183","1"
"327",13,"Tai Felton",MIN,"0","0","0","0","0","0","0","0","0"
"328",13,"Justin Tucker",FA,"143","0","0","0","0","0","0","0","0"
"329",13,"Jacory Croskey-Merritt",WAS,"0","0","0","0","0","0","0","0","0"
"330",13,"John Metchie III",HOU,"43.4","0","0","24","254","1","0","0","0"
"331",13,"Arizona Cardinals",ARI,"101","0","0","0","0","0","0","0","0"
"332",13,"Dont'e Thornton Jr.",LV,"0","0","0","0","0","0","0","0","0"
"333",13,"New England Patriots",NE,"63","0","0","0","0","0","0","0","0"
"334",13,"Will Reichard",MIN,"131","0","0","0","0","0","0","0","0"
"335",13,"Jordan Whittington",LAR,"41.5","0","0","22","293","0","2","12","0"
"336",14,"Jalen Milroe",SEA,"0","0","0","0","0","0","0","0","0"
"337",14,"Ray-Ray McCloud III",ATL,"109.5","0","0","62","686","1","10","79","0"
"338",14,"Savion Williams",GB,"0","0","0","0","0","0","0","0","0"
"339",14,"Tyler Loop",BAL,"0","0","0","0","0","0","0","0","0"
